,id,places,theme,cluster
31,3249,"[32, 199, 40, 361, 43, 558, 111, 144, 188, 52, 86, 31, 831]","[0.3076923076923077, 0.07692307692307693, 0.46153846153846156, 0.15384615384615385, 0.23076923076923078, 0.07692307692307693, 0.07692307692307693, 0.6153846153846154, 0.6923076923076923, 0.23076923076923078, 0.07692307692307693, 0.0, 0.8461538461538461, 0.15384615384615385, 0.38461538461538464, 0.3076923076923077, 0.3076923076923077, 0.0, 0.5384615384615384, 0.15384615384615385, 0.0, 0.3076923076923077]",8
32,3250,"[1, 7, 9, 110, 18, 22, 152, 31]","[0.25, 0.0, 0.5, 0.25, 0.25, 0.125, 0.25, 0.375, 0.75, 0.125, 0.125, 0.0, 0.875, 0.125, 0.375, 0.5, 0.125, 0.0, 0.625, 0.125, 0.0, 0.25]",10
33,3251,"[4, 229, 8, 40, 712, 10, 174, 915, 19, 597, 93, 31]","[0.0, 0.08333333333333333, 0.8333333333333334, 0.08333333333333333, 0.0, 0.0, 0.16666666666666666, 0.8333333333333334, 0.75, 0.16666666666666666, 0.08333333333333333, 0.0, 0.5, 0.5, 0.25, 0.5833333333333334, 0.16666666666666666, 0.0, 1.0, 0.0, 0.0, 0.0]",6
34,3252,"[5, 38, 10, 237, 118, 313, 61, 30]","[0.125, 0.375, 0.125, 0.375, 0.0, 0.125, 0.625, 0.25, 0.875, 0.0, 0.125, 0.0, 0.75, 0.25, 0.25, 0.375, 0.125, 0.25, 0.75, 0.125, 0.0, 0.125]",10
35,3253,"[2, 309, 5]","[0.0, 0.3333333333333333, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 1.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",3
36,3254,"[1, 200, 8, 41, 10, 174, 22, 119, 91, 60]","[0.0, 0.1, 0.9, 0.0, 0.0, 0.1, 0.2, 0.7, 0.7, 0.3, 0.0, 0.1, 0.8, 0.1, 0.1, 0.6, 0.2, 0.1, 0.8, 0.1, 0.1, 0.0]",6
37,3255,"[4, 39, 9, 74, 13, 59]","[0.16666666666666666, 0.0, 0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.16666666666666666, 0.8333333333333334, 0.5, 0.16666666666666666, 0.3333333333333333, 0.0, 0.5, 0.5, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.8333333333333334, 0.0, 0.0, 0.16666666666666666]",7
38,3256,"[1, 52, 29, 9]","[0.25, 0.0, 0.25, 0.5, 0.25, 0.0, 0.25, 0.5, 0.75, 0.0, 0.25, 0.0, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.75, 0.25, 0.0, 0.0]",5
39,3257,"[1, 8, 40, 109, 662, 314]","[0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.16666666666666666, 0.8333333333333334, 0.6666666666666666, 0.3333333333333333, 0.0, 0.16666666666666666, 0.5, 0.3333333333333333, 0.16666666666666666, 0.5, 0.3333333333333333, 0.0, 0.8333333333333334, 0.16666666666666666, 0.0, 0.0]",7
40,3258,"[17, 132, 36]","[0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.0, 0.0, 0.3333333333333333, 1.0, 0.0, 0.0, 0.0]",2
41,3259,"[200, 10, 174]","[0.0, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0, 0.3333333333333333, 0.6666666666666666, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0]",6
42,41,"[65, 10, 420, 58]","[0.25, 0.25, 0.25, 0.25, 0.0, 0.25, 0.25, 0.5, 0.5, 0.25, 0.25, 0.25, 0.75, 0.0, 0.75, 0.25, 0.0, 0.0, 0.25, 0.5, 0.0, 0.25]",8
43,42,"[5, 9, 78, 15, 80, 19, 22, 30, 223]","[0.2222222222222222, 0.1111111111111111, 0.3333333333333333, 0.3333333333333333, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.5555555555555556, 0.6666666666666666, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.6666666666666666, 0.2222222222222222, 0.3333333333333333, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.8888888888888888, 0.0, 0.0, 0.1111111111111111]",0
44,43,"[65, 419, 174, 24, 59, 60]","[0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 1.0, 0.5, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0]",7
45,44,"[8, 205, 45]","[0.0, 0.0, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0, 1.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 1.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 1.0, 0.0, 0.0, 0.0]",1
46,45,"[2, 223, 707, 134, 10, 13, 22, 310, 31]","[0.0, 0.0, 0.5555555555555556, 0.4444444444444444, 0.0, 0.1111111111111111, 0.1111111111111111, 0.7777777777777778, 0.4444444444444444, 0.4444444444444444, 0.1111111111111111, 0.0, 0.3333333333333333, 0.6666666666666666, 0.1111111111111111, 0.4444444444444444, 0.4444444444444444, 0.0, 1.0, 0.0, 0.0, 0.0]",1
47,46,"[10, 75, 179, 22, 223]","[0.2, 0.2, 0.4, 0.2, 0.2, 0.4, 0.2, 0.2, 0.8, 0.2, 0.0, 0.0, 0.8, 0.2, 0.0, 0.6, 0.4, 0.0, 0.8, 0.2, 0.0, 0.0]",10
48,47,"[2, 3, 134, 8, 13, 18, 179, 22, 573]","[0.0, 0.1111111111111111, 0.4444444444444444, 0.4444444444444444, 0.0, 0.2222222222222222, 0.0, 0.7777777777777778, 0.5555555555555556, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.5555555555555556, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.7777777777777778, 0.2222222222222222, 0.0, 0.0]",7
49,48,"[1, 257, 3, 4, 98, 6, 67, 8, 11, 19, 52, 21, 22, 179]","[0.07142857142857142, 0.07142857142857142, 0.35714285714285715, 0.5, 0.07142857142857142, 0.14285714285714285, 0.14285714285714285, 0.6428571428571429, 0.5714285714285714, 0.14285714285714285, 0.2857142857142857, 0.21428571428571427, 0.5714285714285714, 0.21428571428571427, 0.5, 0.35714285714285715, 0.14285714285714285, 0.0, 0.5714285714285714, 0.35714285714285715, 0.0, 0.07142857142857142]",11
50,49,"[4, 165, 586, 13, 211, 52, 25, 26, 61]","[0.2222222222222222, 0.0, 0.4444444444444444, 0.3333333333333333, 0.0, 0.0, 0.1111111111111111, 0.8888888888888888, 0.6666666666666666, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.6666666666666666, 0.3333333333333333, 0.5555555555555556, 0.1111111111111111, 0.0, 0.5555555555555556, 0.2222222222222222, 0.0, 0.2222222222222222]",7
