,id,places,theme,cluster,score
280,280,"[9, 10, 13, 80, 17, 18, 179, 22, 55, 59, 61, 31]","[0.16666666666666666, 0.16666666666666666, 0.5, 0.16666666666666666, 0.08333333333333333, 0.25, 0.16666666666666666, 0.5, 0.6666666666666666, 0.25, 0.08333333333333333, 0.0, 0.5833333333333334, 0.4166666666666667, 0.16666666666666666, 0.5833333333333334, 0.16666666666666666, 0.08333333333333333, 0.9166666666666666, 0.0, 0.0, 0.08333333333333333]",6,201393
281,281,"[582, 15, 273, 17, 90]","[0.2, 0.0, 0.2, 0.6, 0.2, 0.0, 0.0, 0.8, 0.4, 0.4, 0.2, 0.2, 0.2, 0.6, 0.8, 0.0, 0.0, 0.2, 0.4, 0.4, 0.0, 0.2]",11,124340
282,282,"[2, 134, 336, 19, 310, 219, 31]","[0.0, 0.0, 0.42857142857142855, 0.5714285714285714, 0.0, 0.0, 0.0, 1.0, 0.14285714285714285, 0.5714285714285714, 0.2857142857142857, 0.14285714285714285, 0.2857142857142857, 0.5714285714285714, 0.5714285714285714, 0.0, 0.42857142857142855, 0.0, 0.7142857142857143, 0.2857142857142857, 0.0, 0.0]",2,242945
283,283,"[450, 172, 206, 655, 273, 82, 243, 114, 57]","[0.4444444444444444, 0.4444444444444444, 0.0, 0.1111111111111111, 0.5555555555555556, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.7777777777777778, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.8888888888888888, 0.0, 0.7777777777777778, 0.1111111111111111, 0.0, 0.1111111111111111, 0.2222222222222222, 0.0, 0.1111111111111111, 0.6666666666666666]",4,47057
284,284,"[36, 295, 622, 625, 412]","[0.2, 0.2, 0.6, 0.0, 0.2, 0.4, 0.0, 0.4, 0.6, 0.4, 0.0, 0.0, 0.8, 0.2, 0.6, 0.2, 0.0, 0.2, 0.8, 0.2, 0.0, 0.0]",0,39034
285,285,"[2, 3, 5, 38, 8, 9, 13, 15, 247, 24, 59]","[0.0, 0.09090909090909091, 0.36363636363636365, 0.5454545454545454, 0.0, 0.09090909090909091, 0.0, 0.9090909090909091, 0.45454545454545453, 0.2727272727272727, 0.2727272727272727, 0.18181818181818182, 0.2727272727272727, 0.5454545454545454, 0.6363636363636364, 0.18181818181818182, 0.09090909090909091, 0.09090909090909091, 0.8181818181818182, 0.18181818181818182, 0.0, 0.0]",2,434988
286,286,"[38, 10, 112, 273, 146, 22, 214, 153, 28, 125]","[0.3, 0.2, 0.3, 0.2, 0.4, 0.2, 0.1, 0.3, 0.8, 0.1, 0.1, 0.2, 0.7, 0.1, 0.5, 0.4, 0.0, 0.1, 0.6, 0.0, 0.0, 0.4]",4,118013
287,287,"[8, 329, 28, 1]","[0.25, 0.0, 0.5, 0.25, 0.0, 0.0, 0.25, 0.75, 0.5, 0.5, 0.0, 0.25, 0.5, 0.25, 0.5, 0.25, 0.25, 0.0, 1.0, 0.0, 0.0, 0.0]",7,475870
288,288,"[3, 4, 7, 8, 9, 74, 13, 15, 17, 28, 61]","[0.18181818181818182, 0.0, 0.36363636363636365, 0.45454545454545453, 0.0, 0.0, 0.2727272727272727, 0.7272727272727273, 0.36363636363636365, 0.36363636363636365, 0.2727272727272727, 0.2727272727272727, 0.45454545454545453, 0.2727272727272727, 0.5454545454545454, 0.2727272727272727, 0.09090909090909091, 0.09090909090909091, 0.6363636363636364, 0.18181818181818182, 0.0, 0.18181818181818182]",3,405373
289,289,"[768, 2, 35, 573, 3, 75, 60, 53, 214, 22, 55, 24, 219, 28, 61]","[0.2, 0.13333333333333333, 0.2, 0.4666666666666667, 0.13333333333333333, 0.2, 0.06666666666666667, 0.6, 0.5333333333333333, 0.26666666666666666, 0.2, 0.26666666666666666, 0.5333333333333333, 0.2, 0.6666666666666666, 0.26666666666666666, 0.0, 0.06666666666666667, 0.4666666666666667, 0.3333333333333333, 0.0, 0.2]",8,237376
290,290,"[2, 223, 8, 9, 10, 13, 179, 22, 31]","[0.0, 0.1111111111111111, 0.5555555555555556, 0.3333333333333333, 0.0, 0.2222222222222222, 0.1111111111111111, 0.6666666666666666, 0.4444444444444444, 0.3333333333333333, 0.2222222222222222, 0.0, 0.5555555555555556, 0.4444444444444444, 0.2222222222222222, 0.3333333333333333, 0.4444444444444444, 0.0, 1.0, 0.0, 0.0, 0.0]",7,354839
291,291,"[103, 8, 13, 377, 25]","[0.2, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 1.0, 0.6, 0.4, 0.0, 0.0, 0.2, 0.8, 0.0, 0.4, 0.4, 0.2, 0.8, 0.0, 0.0, 0.2]",1,208630
292,292,"[32, 1, 37, 102, 103, 329, 172, 114, 82, 213, 57, 188, 127]","[0.23076923076923078, 0.3076923076923077, 0.3076923076923077, 0.15384615384615385, 0.15384615384615385, 0.07692307692307693, 0.15384615384615385, 0.6153846153846154, 0.7692307692307693, 0.15384615384615385, 0.07692307692307693, 0.0, 0.8461538461538461, 0.15384615384615385, 0.46153846153846156, 0.46153846153846156, 0.0, 0.07692307692307693, 0.46153846153846156, 0.15384615384615385, 0.0, 0.38461538461538464]",8,168038
293,293,"[417, 503, 5, 589, 15, 367, 49, 848, 373, 214, 311, 184, 508, 61]","[0.21428571428571427, 0.0, 0.14285714285714285, 0.6428571428571429, 0.14285714285714285, 0.0, 0.14285714285714285, 0.7142857142857143, 0.6428571428571429, 0.21428571428571427, 0.14285714285714285, 0.2857142857142857, 0.35714285714285715, 0.35714285714285715, 0.5, 0.35714285714285715, 0.07142857142857142, 0.07142857142857142, 0.5714285714285714, 0.2857142857142857, 0.0, 0.14285714285714285]",11,95298
294,294,"[293, 38, 176, 53, 118, 470, 153, 62]","[0.375, 0.375, 0.0, 0.25, 0.25, 0.25, 0.125, 0.375, 0.75, 0.25, 0.0, 0.0, 0.375, 0.625, 0.125, 0.5, 0.125, 0.25, 0.625, 0.0, 0.0, 0.375]",0,69756
295,295,"[192, 3, 37, 743, 8, 9, 361, 103, 13, 369, 52, 279, 25, 219, 317]","[0.0, 0.0, 0.4666666666666667, 0.5333333333333333, 0.0, 0.0, 0.06666666666666667, 0.9333333333333333, 0.4, 0.26666666666666666, 0.3333333333333333, 0.26666666666666666, 0.13333333333333333, 0.6, 0.6, 0.26666666666666666, 0.13333333333333333, 0.0, 0.5333333333333333, 0.4, 0.0, 0.06666666666666667]",2,192014
296,296,"[66, 67, 74, 38]","[0.25, 0.5, 0.0, 0.25, 0.0, 0.5, 0.25, 0.25, 1.0, 0.0, 0.0, 0.0, 0.75, 0.25, 0.25, 0.5, 0.25, 0.0, 0.25, 0.25, 0.0, 0.5]",4,110362
297,297,"[3, 5, 6, 7, 8, 9, 10, 15, 271, 22, 24, 28, 30, 37, 174, 47, 59, 202, 80, 83, 103]","[0.14285714285714285, 0.047619047619047616, 0.42857142857142855, 0.38095238095238093, 0.09523809523809523, 0.047619047619047616, 0.23809523809523808, 0.6190476190476191, 0.6666666666666666, 0.23809523809523808, 0.09523809523809523, 0.14285714285714285, 0.6190476190476191, 0.23809523809523808, 0.3333333333333333, 0.47619047619047616, 0.09523809523809523, 0.09523809523809523, 0.7619047619047619, 0.19047619047619047, 0.0, 0.047619047619047616]",5,272125
298,298,"[65, 7, 200, 428, 76, 13, 14, 15, 22, 26]","[0.0, 0.1, 0.5, 0.4, 0.0, 0.1, 0.1, 0.8, 0.6, 0.2, 0.2, 0.4, 0.4, 0.2, 0.4, 0.5, 0.0, 0.1, 0.4, 0.5, 0.1, 0.0]",11,200099
299,299,"[8, 9, 42, 13, 15, 25, 346]","[0.0, 0.0, 0.8571428571428571, 0.14285714285714285, 0.0, 0.0, 0.0, 1.0, 0.42857142857142855, 0.42857142857142855, 0.14285714285714285, 0.14285714285714285, 0.42857142857142855, 0.42857142857142855, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 1.0, 0.0, 0.0, 0.0]",1,255076
300,300,"[310, 2, 219, 134]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.5, 0.5, 0.25, 0.25, 0.5, 0.5, 0.0, 0.5, 0.0, 0.75, 0.25, 0.0, 0.0]",2,325038
301,301,"[32, 1, 4, 38, 10, 434, 86]","[0.14285714285714285, 0.14285714285714285, 0.7142857142857143, 0.0, 0.0, 0.14285714285714285, 0.42857142857142855, 0.42857142857142855, 0.7142857142857143, 0.14285714285714285, 0.14285714285714285, 0.0, 0.7142857142857143, 0.2857142857142857, 0.5714285714285714, 0.42857142857142855, 0.0, 0.0, 0.7142857142857143, 0.14285714285714285, 0.0, 0.14285714285714285]",5,424793
302,302,"[65, 4, 8, 15, 16, 49, 368, 341, 117, 24, 26]","[0.0, 0.09090909090909091, 0.2727272727272727, 0.6363636363636364, 0.0, 0.0, 0.09090909090909091, 0.9090909090909091, 0.36363636363636365, 0.45454545454545453, 0.18181818181818182, 0.2727272727272727, 0.18181818181818182, 0.5454545454545454, 0.6363636363636364, 0.0, 0.18181818181818182, 0.18181818181818182, 0.45454545454545453, 0.45454545454545453, 0.0, 0.09090909090909091]",2,237606
303,303,"[3, 643, 5, 8, 9, 267, 13, 270, 15, 16, 273, 21, 22, 25, 28, 32, 162, 174, 307, 461, 338]","[0.09523809523809523, 0.047619047619047616, 0.38095238095238093, 0.47619047619047616, 0.047619047619047616, 0.09523809523809523, 0.0, 0.8571428571428571, 0.47619047619047616, 0.38095238095238093, 0.14285714285714285, 0.19047619047619047, 0.3333333333333333, 0.47619047619047616, 0.42857142857142855, 0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.8095238095238095, 0.14285714285714285, 0.0, 0.047619047619047616]",2,216675
304,304,"[9, 16, 17, 18, 20, 21, 24, 154, 165, 41, 55, 313, 59, 60, 573, 65, 76, 341, 216]","[0.10526315789473684, 0.10526315789473684, 0.3157894736842105, 0.47368421052631576, 0.10526315789473684, 0.05263157894736842, 0.0, 0.8421052631578947, 0.5789473684210527, 0.21052631578947367, 0.21052631578947367, 0.15789473684210525, 0.42105263157894735, 0.42105263157894735, 0.47368421052631576, 0.2631578947368421, 0.10526315789473684, 0.15789473684210525, 0.6842105263157895, 0.21052631578947367, 0.0, 0.10526315789473684]",11,137855
305,305,"[582, 743, 428, 588, 270, 15, 816, 145, 729, 92]","[0.1, 0.0, 0.4, 0.5, 0.1, 0.0, 0.1, 0.8, 0.7, 0.1, 0.2, 0.4, 0.3, 0.3, 0.5, 0.4, 0.0, 0.1, 0.5, 0.4, 0.0, 0.1]",11,47525
306,306,"[2, 3, 37, 9, 42, 13, 143, 80, 15, 16, 86]","[0.09090909090909091, 0.0, 0.45454545454545453, 0.45454545454545453, 0.09090909090909091, 0.0, 0.09090909090909091, 0.8181818181818182, 0.5454545454545454, 0.18181818181818182, 0.2727272727272727, 0.18181818181818182, 0.5454545454545454, 0.2727272727272727, 0.5454545454545454, 0.2727272727272727, 0.0, 0.18181818181818182, 0.5454545454545454, 0.36363636363636365, 0.0, 0.09090909090909091]",11,362732
307,307,"[3, 707, 6, 103, 8, 10, 76, 13, 19, 179, 25, 31]","[0.0, 0.08333333333333333, 0.75, 0.16666666666666666, 0.0, 0.08333333333333333, 0.16666666666666666, 0.75, 0.6666666666666666, 0.25, 0.08333333333333333, 0.08333333333333333, 0.25, 0.6666666666666666, 0.16666666666666666, 0.5, 0.3333333333333333, 0.0, 0.8333333333333334, 0.16666666666666666, 0.0, 0.0]",1,298223
308,308,"[228, 165, 8, 202, 783, 856, 341, 118, 280, 223]","[0.1, 0.1, 0.4, 0.4, 0.1, 0.0, 0.2, 0.7, 0.5, 0.5, 0.0, 0.0, 0.4, 0.6, 0.0, 0.3, 0.4, 0.3, 1.0, 0.0, 0.0, 0.0]",1,71383
309,309,"[3, 8, 10, 187, 15, 145, 17, 341, 310, 22, 219, 28, 61, 223]","[0.21428571428571427, 0.0, 0.2857142857142857, 0.5, 0.07142857142857142, 0.07142857142857142, 0.14285714285714285, 0.7142857142857143, 0.35714285714285715, 0.5, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.42857142857142855, 0.42857142857142855, 0.21428571428571427, 0.21428571428571427, 0.14285714285714285, 0.7142857142857143, 0.14285714285714285, 0.0, 0.14285714285714285]",2,217746
310,310,"[224, 2, 5, 10, 15, 17, 18]","[0.0, 0.0, 0.42857142857142855, 0.5714285714285714, 0.0, 0.0, 0.14285714285714285, 0.8571428571428571, 0.42857142857142855, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.5714285714285714, 0.14285714285714285, 0.5714285714285714, 0.2857142857142857, 0.0, 0.14285714285714285, 0.8571428571428571, 0.14285714285714285, 0.0, 0.0]",3,427813
311,311,"[995, 3, 8, 971, 14, 80, 58, 62]","[0.375, 0.25, 0.125, 0.25, 0.375, 0.0, 0.125, 0.5, 0.5, 0.25, 0.25, 0.25, 0.625, 0.125, 0.5, 0.25, 0.25, 0.0, 0.5, 0.375, 0.0, 0.125]",8,261144
312,312,"[3, 611, 5, 38, 74, 523, 78, 142, 112, 17, 179, 53, 22, 24, 286]","[0.2, 0.2, 0.2, 0.4, 0.13333333333333333, 0.26666666666666666, 0.06666666666666667, 0.5333333333333333, 0.8, 0.13333333333333333, 0.06666666666666667, 0.13333333333333333, 0.4666666666666667, 0.4, 0.4666666666666667, 0.4, 0.06666666666666667, 0.06666666666666667, 0.6, 0.06666666666666667, 0.0, 0.3333333333333333]",8,196893
313,313,"[3, 4, 387, 8, 9, 13, 141, 15, 16, 148, 26, 31, 554, 44, 432, 179, 65, 323, 74, 75, 222, 368, 253]","[0.17391304347826086, 0.043478260869565216, 0.30434782608695654, 0.4782608695652174, 0.08695652173913043, 0.043478260869565216, 0.043478260869565216, 0.8260869565217391, 0.43478260869565216, 0.30434782608695654, 0.2608695652173913, 0.2608695652173913, 0.34782608695652173, 0.391304347826087, 0.5217391304347826, 0.17391304347826086, 0.21739130434782608, 0.08695652173913043, 0.4782608695652174, 0.43478260869565216, 0.0, 0.08695652173913043]",11,204949
314,314,"[2, 8, 10, 13, 174, 176, 22, 61]","[0.125, 0.125, 0.625, 0.125, 0.0, 0.25, 0.25, 0.5, 0.75, 0.125, 0.125, 0.0, 0.75, 0.25, 0.125, 0.75, 0.125, 0.0, 0.75, 0.0, 0.0, 0.25]",6,343533
315,3382,"[456, 153, 573, 55]","[0.25, 0.25, 0.0, 0.5, 0.25, 0.25, 0.0, 0.5, 1.0, 0.0, 0.0, 0.0, 0.75, 0.25, 0.5, 0.25, 0.0, 0.25, 0.25, 0.25, 0.0, 0.5]",8,46749
316,315,"[2, 3, 4, 134, 8, 9, 428, 13, 526, 336]","[0.1, 0.0, 0.5, 0.4, 0.1, 0.0, 0.0, 0.9, 0.3, 0.3, 0.4, 0.1, 0.6, 0.3, 0.6, 0.2, 0.2, 0.0, 0.7, 0.3, 0.0, 0.0]",3,440437
317,316,"[2, 707, 134, 8, 10, 13, 15, 145, 179, 22, 310, 214, 342, 219, 61, 31]","[0.1875, 0.0625, 0.5, 0.25, 0.125, 0.125, 0.1875, 0.5625, 0.5625, 0.3125, 0.125, 0.125, 0.4375, 0.4375, 0.25, 0.375, 0.3125, 0.0625, 0.75, 0.0625, 0.0, 0.1875]",0,210178
318,317,"[545, 2, 99, 134, 41, 13, 15, 432, 336, 597, 310, 26, 219, 93, 30]","[0.0, 0.13333333333333333, 0.3333333333333333, 0.5333333333333333, 0.0, 0.0, 0.06666666666666667, 0.9333333333333333, 0.4, 0.4666666666666667, 0.13333333333333333, 0.2, 0.4, 0.4, 0.4, 0.13333333333333333, 0.26666666666666666, 0.2, 0.7333333333333333, 0.26666666666666666, 0.0, 0.0]",2,171841
319,318,"[5, 154, 41, 17, 20, 118, 24, 25, 58, 62]","[0.2, 0.1, 0.2, 0.5, 0.2, 0.0, 0.1, 0.7, 0.7, 0.3, 0.0, 0.0, 0.6, 0.4, 0.5, 0.1, 0.3, 0.1, 0.7, 0.1, 0.0, 0.2]",8,194833
320,319,"[3, 581, 9, 79, 17, 18, 179, 22, 59, 29, 30]","[0.09090909090909091, 0.2727272727272727, 0.2727272727272727, 0.36363636363636365, 0.09090909090909091, 0.18181818181818182, 0.09090909090909091, 0.6363636363636364, 0.45454545454545453, 0.36363636363636365, 0.18181818181818182, 0.09090909090909091, 0.6363636363636364, 0.2727272727272727, 0.2727272727272727, 0.45454545454545453, 0.18181818181818182, 0.09090909090909091, 0.9090909090909091, 0.09090909090909091, 0.0, 0.0]",0,243257
321,320,"[1, 387, 4, 903, 10, 13, 19, 20, 21, 22, 25, 419, 38, 59, 61, 75, 341, 214, 96, 232, 747, 236]","[0.3181818181818182, 0.09090909090909091, 0.45454545454545453, 0.13636363636363635, 0.22727272727272727, 0.09090909090909091, 0.13636363636363635, 0.5454545454545454, 0.7727272727272727, 0.13636363636363635, 0.09090909090909091, 0.045454545454545456, 0.6363636363636364, 0.3181818181818182, 0.4090909090909091, 0.4090909090909091, 0.13636363636363635, 0.045454545454545456, 0.8181818181818182, 0.045454545454545456, 0.0, 0.13636363636363635]",10,210907
322,321,"[18, 29, 878]","[0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.6666666666666666, 0.6666666666666666, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0]",5,132312
323,322,"[1, 3, 5, 8, 178, 19, 29]","[0.14285714285714285, 0.0, 0.5714285714285714, 0.2857142857142857, 0.14285714285714285, 0.0, 0.14285714285714285, 0.7142857142857143, 0.5714285714285714, 0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.42857142857142855, 0.42857142857142855, 0.42857142857142855, 0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.8571428571428571, 0.14285714285714285, 0.0, 0.0]",7,545962
324,323,"[37, 103, 8, 80, 244, 341, 86, 59]","[0.125, 0.0, 0.625, 0.25, 0.125, 0.0, 0.125, 0.75, 0.5, 0.5, 0.0, 0.0, 0.25, 0.75, 0.375, 0.375, 0.125, 0.125, 0.75, 0.25, 0.0, 0.0]",1,123518
325,690,"[2, 4, 5, 6, 9, 169, 270, 15, 16, 49, 25, 28]","[0.0, 0.0, 0.25, 0.75, 0.0, 0.0, 0.16666666666666666, 0.8333333333333334, 0.5, 0.25, 0.25, 0.16666666666666666, 0.5, 0.3333333333333333, 0.6666666666666666, 0.16666666666666666, 0.08333333333333333, 0.08333333333333333, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0]",11,404849
326,324,"[608, 431, 592, 242, 371, 380, 255]","[0.0, 0.0, 0.42857142857142855, 0.5714285714285714, 0.0, 0.0, 0.42857142857142855, 0.5714285714285714, 1.0, 0.0, 0.0, 0.0, 0.42857142857142855, 0.5714285714285714, 0.5714285714285714, 0.42857142857142855, 0.0, 0.0, 0.42857142857142855, 0.5714285714285714, 0.0, 0.0]",11,17124
327,325,"[2, 4, 8, 145, 214, 26, 61]","[0.42857142857142855, 0.0, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.0, 0.14285714285714285, 0.5714285714285714, 0.42857142857142855, 0.2857142857142857, 0.2857142857142857, 0.14285714285714285, 0.7142857142857143, 0.14285714285714285, 0.7142857142857143, 0.14285714285714285, 0.14285714285714285, 0.0, 0.42857142857142855, 0.14285714285714285, 0.0, 0.42857142857142855]",8,418563
328,326,"[65, 3, 488, 9, 49, 62]","[0.16666666666666666, 0.0, 0.0, 0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.8333333333333334, 0.5, 0.0, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.8333333333333334, 0.0, 0.16666666666666666, 0.0, 0.3333333333333333, 0.5, 0.0, 0.16666666666666666]",9,296781
329,327,"[3, 6, 72, 9, 13, 16]","[0.0, 0.0, 0.16666666666666666, 0.8333333333333334, 0.0, 0.0, 0.16666666666666666, 0.8333333333333334, 0.5, 0.0, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0]",9,456904
330,328,"[1, 3, 4, 580, 6, 903, 8, 42, 13, 118]","[0.1, 0.0, 0.5, 0.4, 0.1, 0.0, 0.3, 0.6, 0.7, 0.1, 0.2, 0.2, 0.5, 0.3, 0.3, 0.3, 0.2, 0.2, 0.7, 0.3, 0.0, 0.0]",5,481324
331,329,"[503, 517, 247, 473, 571]","[0.0, 0.0, 0.8, 0.2, 0.0, 0.0, 0.8, 0.2, 1.0, 0.0, 0.0, 0.0, 0.8, 0.2, 0.2, 0.8, 0.0, 0.0, 0.8, 0.2, 0.0, 0.0]",6,13901
332,697,"[2, 8, 9, 10, 76, 50, 25, 29]","[0.25, 0.0, 0.5, 0.25, 0.125, 0.0, 0.25, 0.625, 0.375, 0.375, 0.25, 0.0, 0.5, 0.5, 0.25, 0.375, 0.25, 0.125, 1.0, 0.0, 0.0, 0.0]",0,373603
333,698,"[4, 134, 8, 13, 15, 16, 368, 17, 19, 20, 310, 311, 31]","[0.0, 0.0, 0.46153846153846156, 0.5384615384615384, 0.0, 0.0, 0.0, 1.0, 0.3076923076923077, 0.6153846153846154, 0.07692307692307693, 0.07692307692307693, 0.15384615384615385, 0.7692307692307693, 0.38461538461538464, 0.07692307692307693, 0.46153846153846156, 0.07692307692307693, 0.7692307692307693, 0.23076923076923078, 0.0, 0.0]",2,244956
334,330,"[161, 165, 329, 14, 175, 242, 532, 59, 351]","[0.2222222222222222, 0.0, 0.2222222222222222, 0.5555555555555556, 0.0, 0.0, 0.0, 1.0, 0.4444444444444444, 0.1111111111111111, 0.4444444444444444, 0.4444444444444444, 0.2222222222222222, 0.3333333333333333, 0.7777777777777778, 0.2222222222222222, 0.0, 0.0, 0.5555555555555556, 0.3333333333333333, 0.0, 0.1111111111111111]",9,69364
335,331,"[1, 98, 2, 134, 295, 8, 6, 13, 79, 368, 17, 18, 22, 310, 219, 61]","[0.0625, 0.0, 0.375, 0.5625, 0.0, 0.125, 0.1875, 0.6875, 0.375, 0.4375, 0.1875, 0.0625, 0.5625, 0.375, 0.1875, 0.5625, 0.25, 0.0, 0.6875, 0.25, 0.0, 0.0625]",7,308806
336,332,"[155, 20, 153, 347, 573]","[0.2, 0.2, 0.0, 0.6, 0.2, 0.0, 0.0, 0.8, 0.8, 0.2, 0.0, 0.0, 0.8, 0.2, 0.4, 0.2, 0.0, 0.4, 0.6, 0.2, 0.0, 0.2]",8,68833
337,333,"[1, 358, 361, 554, 267, 75, 15, 61, 404, 21, 408, 93, 287]","[0.23076923076923078, 0.07692307692307693, 0.38461538461538464, 0.3076923076923077, 0.15384615384615385, 0.0, 0.23076923076923078, 0.6153846153846154, 0.6923076923076923, 0.23076923076923078, 0.07692307692307693, 0.15384615384615385, 0.6923076923076923, 0.15384615384615385, 0.5384615384615384, 0.3076923076923077, 0.07692307692307693, 0.07692307692307693, 0.6923076923076923, 0.07692307692307693, 0.0, 0.23076923076923078]",8,167028
338,334,"[8, 28, 22]","[0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 1.0, 0.0, 0.0, 0.0]",1,270794
339,335,"[165, 38, 359, 8, 9, 10, 15, 21, 89]","[0.0, 0.1111111111111111, 0.5555555555555556, 0.3333333333333333, 0.0, 0.1111111111111111, 0.1111111111111111, 0.7777777777777778, 0.4444444444444444, 0.3333333333333333, 0.2222222222222222, 0.2222222222222222, 0.4444444444444444, 0.3333333333333333, 0.5555555555555556, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 1.0, 0.0, 0.0, 0.0]",7,223316
340,336,"[3, 8, 9, 395, 13, 52, 25]","[0.0, 0.0, 0.42857142857142855, 0.5714285714285714, 0.0, 0.0, 0.0, 1.0, 0.42857142857142855, 0.2857142857142857, 0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.7142857142857143, 0.5714285714285714, 0.14285714285714285, 0.2857142857142857, 0.0, 0.5714285714285714, 0.42857142857142855, 0.0, 0.0]",2,360454
341,337,"[5, 6, 104, 9, 10, 42, 13, 110, 80]","[0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.2222222222222222, 0.4444444444444444, 0.7777777777777778, 0.1111111111111111, 0.1111111111111111, 0.0, 0.8888888888888888, 0.1111111111111111, 0.2222222222222222, 0.5555555555555556, 0.0, 0.2222222222222222, 0.7777777777777778, 0.1111111111111111, 0.0, 0.1111111111111111]",10,303811
342,338,"[2, 3, 8, 10, 75, 13, 174, 625, 93, 25, 253, 223]","[0.16666666666666666, 0.0, 0.5833333333333334, 0.25, 0.16666666666666666, 0.0, 0.08333333333333333, 0.75, 0.5, 0.3333333333333333, 0.16666666666666666, 0.08333333333333333, 0.5833333333333334, 0.3333333333333333, 0.25, 0.4166666666666667, 0.25, 0.08333333333333333, 0.75, 0.16666666666666666, 0.0, 0.08333333333333333]",0,320409
343,339,"[66, 165, 107, 110, 19, 20, 22, 153]","[0.25, 0.125, 0.375, 0.25, 0.25, 0.25, 0.0, 0.5, 0.875, 0.125, 0.0, 0.0, 0.75, 0.25, 0.25, 0.5, 0.25, 0.0, 0.625, 0.0, 0.0, 0.375]",10,122595
344,340,"[707, 6, 8, 16, 17, 22, 153, 59]","[0.125, 0.0, 0.5, 0.375, 0.125, 0.125, 0.125, 0.625, 0.625, 0.375, 0.0, 0.0, 0.375, 0.625, 0.25, 0.625, 0.125, 0.0, 0.625, 0.25, 0.0, 0.125]",7,241640
345,341,"[2, 4, 197, 8, 9, 10, 108, 22, 26, 59, 223]","[0.18181818181818182, 0.0, 0.45454545454545453, 0.36363636363636365, 0.18181818181818182, 0.09090909090909091, 0.09090909090909091, 0.6363636363636364, 0.36363636363636365, 0.36363636363636365, 0.2727272727272727, 0.09090909090909091, 0.6363636363636364, 0.2727272727272727, 0.45454545454545453, 0.36363636363636365, 0.18181818181818182, 0.0, 0.7272727272727273, 0.09090909090909091, 0.0, 0.18181818181818182]",3,361864
346,342,"[2, 3, 4, 8, 72, 145, 26]","[0.14285714285714285, 0.0, 0.2857142857142857, 0.5714285714285714, 0.14285714285714285, 0.0, 0.0, 0.8571428571428571, 0.14285714285714285, 0.2857142857142857, 0.5714285714285714, 0.42857142857142855, 0.42857142857142855, 0.14285714285714285, 0.8571428571428571, 0.0, 0.14285714285714285, 0.0, 0.5714285714285714, 0.2857142857142857, 0.0, 0.14285714285714285]",9,558801
347,344,"[1, 2, 3, 5, 8, 9, 10, 13, 15, 16, 146, 22, 151, 30, 31, 37, 179, 59, 336, 80, 341, 103]","[0.045454545454545456, 0.13636363636363635, 0.45454545454545453, 0.36363636363636365, 0.09090909090909091, 0.09090909090909091, 0.18181818181818182, 0.6363636363636364, 0.5909090909090909, 0.2727272727272727, 0.13636363636363635, 0.09090909090909091, 0.5454545454545454, 0.36363636363636365, 0.36363636363636365, 0.3181818181818182, 0.18181818181818182, 0.13636363636363635, 0.7272727272727273, 0.22727272727272727, 0.0, 0.045454545454545456]",5,334700
348,345,"[37, 78, 206, 180, 188]","[0.4, 0.2, 0.0, 0.4, 0.4, 0.0, 0.0, 0.6, 0.8, 0.0, 0.2, 0.0, 0.8, 0.2, 0.4, 0.4, 0.0, 0.2, 0.2, 0.2, 0.0, 0.6]",4,70841
